"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/24/2025","AirNow","060370016","3","1.5","ug/m3 LC","8","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/25/2025","AirNow","060370016","3","5.7","ug/m3 LC","32","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/26/2025","AirNow","060370016","3","1.6","ug/m3 LC","9","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/27/2025","AirNow","060370016","3","2.4","ug/m3 LC","13","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/28/2025","AirNow","060370016","3","8","ug/m3 LC","44","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/29/2025","AirNow","060370016","3","8.9","ug/m3 LC","49","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/30/2025","AirNow","060370016","3","12","ug/m3 LC","56","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/31/2025","AirNow","060370016","3","11.1","ug/m3 LC","55","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/01/2025","AirNow","060370016","3","15.1","ug/m3 LC","62","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/02/2025","AirNow","060370016","3","24.4","ug/m3 LC","80","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/03/2025","AirNow","060370016","3","15.4","ug/m3 LC","63","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/04/2025","AirNow","060370016","3","9.5","ug/m3 LC","52","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/05/2025","AirNow","060370016","3","4.1","ug/m3 LC","23","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/06/2025","AirNow","060370016","3","5.5","ug/m3 LC","31","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/07/2025","AirNow","060370016","3","2.1","ug/m3 LC","12","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/08/2025","AirNow","060370016","3","6.9","ug/m3 LC","38","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/09/2025","AirNow","060370016","3","6.1","ug/m3 LC","34","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/10/2025","AirNow","060370016","3","5.5","ug/m3 LC","31","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/11/2025","AirNow","060370016","3","5.7","ug/m3 LC","32","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/12/2025","AirNow","060370016","3","4.3","ug/m3 LC","24","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/13/2025","AirNow","060370016","3","1.8","ug/m3 LC","10","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/14/2025","AirNow","060370016","3","5.6","ug/m3 LC","31","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/15/2025","AirNow","060370016","3","5.5","ug/m3 LC","31","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/16/2025","AirNow","060370016","3","4.5","ug/m3 LC","25","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/17/2025","AirNow","060370016","3","7.8","ug/m3 LC","43","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/18/2025","AirNow","060370016","3","9.5","ug/m3 LC","52","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/19/2025","AirNow","060370016","3","7.6","ug/m3 LC","42","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/20/2025","AirNow","060370016","3","6.9","ug/m3 LC","38","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/21/2025","AirNow","060370016","3","1.5","ug/m3 LC","8","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/22/2025","AirNow","060370016","3","2.6","ug/m3 LC","14","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/23/2025","AirNow","060370016","3","6","ug/m3 LC","33","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/24/2025","AirNow","060370016","3","10.1","ug/m3 LC","53","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/25/2025","AirNow","060370016","3","8.7","ug/m3 LC","48","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/26/2025","AirNow","060370016","3","6.3","ug/m3 LC","35","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/27/2025","AirNow","060370016","3","0","ug/m3 LC","0","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/28/2025","AirNow","060370016","3","3.8","ug/m3 LC","21","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"03/01/2025","AirNow","060370016","3","8.5","ug/m3 LC","47","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"03/02/2025","AirNow","060370016","3","4.1","ug/m3 LC","23","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"03/03/2025","AirNow","060370016","3","3","ug/m3 LC","17","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"03/04/2025","AirNow","060370016","3","5.8","ug/m3 LC","32","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"03/05/2025","AirNow","060370016","3","7.3","ug/m3 LC","41","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"03/06/2025","AirNow","060370016","3","1.6","ug/m3 LC","9","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/01/2025","AirNow","060371103","3","32.7","ug/m3 LC","95","Los Angeles-North Main Street","1","100.0000","88101","PM2.5 - Local Conditions","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"01/02/2025","AirNow","060371103","3","20.5","ug/m3 LC","72","Los Angeles-North Main Street","1","100.0000","88101","PM2.5 - Local Conditions","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"01/03/2025","AirNow","060371103","3","25.6","ug/m3 LC","82","Los Angeles-North Main Street","1","100.0000","88101","PM2.5 - Local Conditions","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"01/04/2025","AirNow","060371103","3","30","ug/m3 LC","90","Los Angeles-North Main Street","1","100.0000","88101","PM2.5 - Local Conditions","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"01/05/2025","AirNow","060371103","3","12.7","ug/m3 LC","58","Los Angeles-North Main Street","1","100.0000","88101","PM2.5 - Local Conditions","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"01/06/2025","AirNow","060371103","3","8.7","ug/m3 LC","48","Los Angeles-North Main Street","1","100.0000","88101","PM2.5 - Local Conditions","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"01/07/2025","AirNow","060371103","3","18.8","ug/m3 LC","69","Los Angeles-North Main Street","1","100.0000","88101","PM2.5 - Local Conditions","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"01/08/2025","AirNow","060371103","3","109.2","ug/m3 LC","189","Los Angeles-North Main Street","1","100.0000","88101","PM2.5 - Local Conditions","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"01/09/2025","AirNow","060371103","3","74.2","ug/m3 LC","164","Los Angeles-North Main Street","1","100.0000","88101","PM2.5 - Local Conditions","","","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
