"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2024","AQS","060710001","1","0.032","ppm","30","Barstow","68","400.0000","44201","Ozone","011","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/02/2024","AQS","060710001","1","0.032","ppm","30","Barstow","68","400.0000","44201","Ozone","011","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/03/2024","AQS","060710001","1","0.043","ppm","40","Barstow","68","400.0000","44201","Ozone","011","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/04/2024","AQS","060710001","1","0.041","ppm","38","Barstow","68","400.0000","44201","Ozone","011","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/05/2024","AQS","060710001","1","0.024","ppm","22","Barstow","68","400.0000","44201","Ozone","011","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/06/2024","AQS","060710001","1","0.04","ppm","37","Barstow","68","400.0000","44201","Ozone","011","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/07/2024","AQS","060710001","1","0.039","ppm","36","Barstow","68","400.0000","44201","Ozone","011","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/08/2024","AQS","060710001","1","0.032","ppm","30","Barstow","68","400.0000","44201","Ozone","011","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/09/2024","AQS","060710001","1","0.033","ppm","31","Barstow","68","400.0000","44201","Ozone","011","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/10/2024","AQS","060710001","1","0.04","ppm","37","Barstow","68","400.0000","44201","Ozone","011","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/11/2024","AQS","060710001","1","0.042","ppm","39","Barstow","68","400.0000","44201","Ozone","011","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/12/2024","AQS","060710001","1","0.032","ppm","30","Barstow","68","400.0000","44201","Ozone","011","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/13/2024","AQS","060710001","1","0.038","ppm","35","Barstow","68","400.0000","44201","Ozone","011","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/14/2024","AQS","060710001","1","0.039","ppm","36","Barstow","68","400.0000","44201","Ozone","011","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/15/2024","AQS","060710001","1","0.026","ppm","24","Barstow","68","400.0000","44201","Ozone","011","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/16/2024","AQS","060710001","1","0.027","ppm","25","Barstow","68","400.0000","44201","Ozone","011","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"01/17/2024","AQS","060710001","1","0.039","ppm","36","Barstow","68","400.0000","44201","Ozone","011","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
